Updated policy parameters
New policy params 0.5 0.5 4
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.73531
FINISHED TOUCH DOWN

CUTTING
scaling_factor 0.105263
gaussian_mu 1.67976
gaussian_sigma_square 0.705396
platform height -0.08
Current pose -0.0355221
Z dist 0.0444779
3.16982 5.34403 3.07126 5.34403 3.07126
3.16511 5.46217 2.6646 5.46217 2.6646
3.16292 5.29719 4.82929 5.29719 4.82929
3.16213 5.38101 3.10864 5.38101 3.10864
3.15293 5.24246 2.84562 5.24246 2.84562
3.14515 5.22673 3.80021 5.22673 3.80021
3.13865 5.19944 3.25286 5.19944 3.25286
3.13186 5.23794 2.81454 5.23794 2.81454
3.12294 4.96713 2.05717 4.96713 2.05717
3.12096 5.26892 1.65983 5.26892 1.65983
3.11319 5.25883 2.15307 5.25883 2.15307
3.10863 5.44242 2.67436 5.44242 2.67436
3.09976 5.10303 5.37978 5.10303 5.37978
3.09406 5.39505 3.02746 5.39505 3.02746
3.08553 5.37824 2.71539 5.37824 2.71539
3.07844 5.16823 3.10282 5.16823 3.10282
3.07728 5.43338 2.10005 5.43338 2.10005
3.07427 5.28125 2.76925 5.28125 2.76925
3.06617 4.98255 1.80298 4.98255 1.80298
3.06607 5.59326 1.97175 5.59326 1.97175
3.06313 5.4045 1.58853 5.4045 1.58853
3.06439 5.57141 5.59531 5.57141 5.59531
3.06141 4.9781 4.75119 4.9781 4.75119
3.05414 5.19624 2.39337 5.19624 2.39337
3.04083 4.83273 4.5919 4.83273 4.5919
3.03321 4.87344 2.64758 4.87344 2.64758
3.03237 5.45649 4.36226 5.45649 4.36226
3.02314 4.5408 4.45656 4.5408 4.45656
3.01764 5.12092 3.06214 5.12092 3.06214
3.00866 5.47049 2.70843 5.47049 2.70843
2.99773 4.95627 2.97837 4.95627 2.97837
2.98576 5.44088 2.27606 5.44088 2.27606
2.97803 4.98499 3.40124 4.98499 3.40124
2.97037 4.96948 2.63986 4.96948 2.63986
2.96654 5.09483 2.08781 5.09483 2.08781
2.95593 4.91374 2.29161 4.91374 2.29161
2.94639 5.31991 2.66184 5.31991 2.66184
2.93882 5.41118 2.32626 5.41118 2.32626
2.9283 5.42546 0.665396 5.42546 0.665396
2.92981 5.52353 2.91287 5.52353 2.91287
2.9344 5.2543 3.09629 5.2543 3.09629
2.93195 5.17373 1.73435 5.17373 1.73435
2.91902 4.81243 2.55624 4.81243 2.55624
2.90808 4.78485 3.00926 4.78485 3.00926
2.89934 5.00711 2.93252 5.00711 2.93252
2.88752 4.91466 3.24895 4.91466 3.24895
2.88051 4.80162 2.13374 4.80162 2.13374
2.87756 4.9892 4.1104 4.9892 4.1104
2.87021 4.74551 2.4306 4.74551 2.4306
2.86037 5.03706 2.41119 5.03706 2.41119
2.84487 4.82265 4.3044 4.82265 4.3044
2.84066 5.48951 4.11545 5.48951 4.11545
2.83277 4.82353 0.790578 4.82353 0.790578
2.82134 5.04556 3.40094 5.04556 3.40094
2.82131 5.40357 3.34685 5.40357 3.34685
2.81847 5.26487 2.40562 5.26487 2.40562
2.80663 5.16282 2.92277 5.16282 2.92277
2.79891 5.2301 5.02711 5.2301 5.02711
2.80023 5.71223 0.511698 5.71223 0.511698
2.79014 5.00774 2.80181 5.00774 2.80181
2.78258 5.11814 3.81304 5.11814 3.81304
2.78678 5.43859 1.55922 5.43859 1.55922
2.77024 4.69919 2.67934 4.69919 2.67934
2.76029 4.99478 1.49351 4.99478 1.49351
2.75897 5.58018 1.43413 5.58018 1.43413
2.7555 5.14819 3.98583 5.14819 3.98583
2.74863 4.84581 2.52901 4.84581 2.52901
2.74676 5.41104 1.21951 5.41104 1.21951
2.73638 4.80058 3.21376 4.80058 3.21376
2.73307 5.28178 3.24735 5.28178 3.24735
2.72725 4.95074 4.19572 4.95074 4.19572
2.71479 4.78526 4.15933 4.78526 4.15933
2.71135 4.9426 3.7787 4.9426 3.7787
2.70113 4.80034 4.60867 4.80034 4.60867
2.69554 4.99929 3.75669 4.99929 3.75669
2.68662 5.08607 2.20913 5.08607 2.20913
2.67625 5.08444 1.56153 5.08444 1.56153
2.66937 5.08347 2.40996 5.08347 2.40996
2.66322 5.1949 2.19937 5.1949 2.19937
2.65482 5.09369 0.838444 5.09369 0.838444
2.64517 5.00654 2.25722 5.00654 2.25722
2.63678 5.26813 3.74926 5.26813 3.74926
2.63216 5.22208 2.67748 5.22208 2.67748
2.61765 4.80808 4.70923 4.80808 4.70923
2.61102 5.12194 2.54036 5.12194 2.54036
2.60375 5.27856 1.59829 5.27856 1.59829
2.59439 5.13367 4.0649 5.13367 4.0649
2.5923 5.10929 1.9748 5.10929 1.9748
2.58919 5.28199 1.62317 5.28199 1.62317
2.5797 4.84527 2.15879 4.84527 2.15879
2.57535 5.40591 4.14187 5.40591 4.14187
2.57458 5.361 2.68623 5.361 2.68623
2.56574 4.86699 1.96435 4.86699 1.96435
2.55485 4.69228 1.0099 4.69228 1.0099
2.55262 4.87842 2.02804 4.87842 2.02804
2.54813 4.99987 3.05028 4.99987 3.05028
2.54367 4.83282 0.547049 4.83282 0.547049
2.5366 4.63314 3.40041 4.63314 3.40041
2.52997 4.66488 1.70805 4.66488 1.70805
2.52338 5.00847 3.45849 5.00847 3.45849
2.51623 4.7042 2.04918 4.7042 2.04918
2.50976 4.47414 1.99768 4.47414 1.99768
2.5081 4.68144 0.312153 4.68144 0.312153
2.49915 4.48643 1.57771 4.48643 1.57771
2.49793 4.73579 3.85891 4.73579 3.85891
2.49549 4.62188 1.80111 4.62188 1.80111
2.49161 4.53761 3.04929 4.53761 3.04929
2.48115 4.21499 2.50891 4.21499 2.50891
2.48077 4.83104 2.3073 4.83104 2.3073
2.47423 4.05425 0.0368922 4.05425 0.0368922
2.46773 4.2129 0.520705 4.2129 0.520705
2.4738 4.45705 4.60264 4.45705 4.60264
2.46814 3.9125 2.11668 3.9125 2.11668
2.45757 4.47085 2.57911 4.47085 2.57911
2.44743 3.83345 0.950057 3.83345 0.950057
2.44136 4.16585 3.08029 4.16585 3.08029
2.43826 4.28788 2.04824 4.28788 2.04824
2.43187 3.73878 2.04576 3.73878 2.04576
2.42352 3.82923 1.47078 3.82923 1.47078
2.41357 3.94152 1.97682 3.94152 1.97682
2.40793 4.38873 1.55596 4.38873 1.55596
2.39921 3.8486 2.2294 3.8486 2.2294
2.39772 4.05736 1.45312 4.05736 1.45312
2.39626 4.0573 1.72612 4.0573 1.72612
2.39023 3.82962 1.22582 3.82962 1.22582
2.3836 4.10097 3.89056 4.10097 3.89056
2.38207 4.07159 2.76184 4.07159 2.76184
2.37218 3.82329 3.2094 3.82329 3.2094
2.36579 3.82145 3.00383 3.82145 3.00383
2.36286 3.76245 2.65151 3.76245 2.65151
2.35883 4.02445 1.3812 4.02445 1.3812
2.35325 3.81097 2.74027 3.81097 2.74027
2.35277 4.07956 3.85631 4.07956 3.85631
2.34908 3.86529 1.5939 3.86529 1.5939
2.33662 3.66044 3.38453 3.66044 3.38453
