Updated policy parameters
New policy params 0.5 0.5 4
[ INFO] [1570714289.981215682]: Starting cutting rollout
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

[ INFO] [1570714293.521221844]: New start pose Recorded
TOUCH DOWN
2.51588
FINISHED TOUCH DOWN

CUTTING
[ INFO] [1570714297.441707282]: Gaussian velocity parameters calculated
platform height -0.08
Current pose -0.0348015
Z dist 0.0451985
3.31503 3.5989 4.16434 3.5989 2.46434
3.30758 3.05871 3.09539 3.05871 1.39539
3.2982 3.33348 3.00861 3.33348 1.30861
3.29038 3.56154 2.33673 3.56154 0.63673
3.28498 3.24004 2.98156 3.24004 1.28156
3.28119 3.44327 2.53708 3.44327 0.837081
3.27242 3.353 3.70567 3.353 2.00567
3.26563 3.48921 3.39333 3.48921 1.69333
3.25266 3.41941 3.58546 3.41941 1.88546
3.24279 3.54283 3.43836 3.54283 1.73836
3.23763 3.2756 3.91159 3.2756 2.21159
3.231 3.49152 2.39088 3.49152 0.690879
3.22551 3.63089 2.88345 3.63089 1.18345
3.21896 3.61137 2.76726 3.61137 1.06726
3.21696 4.0097 2.73148 4.0097 1.03148
3.21159 3.89609 2.73639 3.89609 1.03639
3.20628 3.51089 4.32202 3.51089 2.62202
3.20547 3.75865 2.32966 3.75865 0.629659
3.20132 3.70255 4.1152 3.70255 2.4152
3.19365 3.59015 2.31194 3.59015 0.611937
3.18809 3.75002 3.18359 3.75002 1.48359
3.1785 3.66847 3.37747 3.66847 1.67747
3.17622 3.70282 2.82011 3.70282 1.12011
3.17046 3.85358 3.31252 3.85358 1.61252
3.16703 3.75502 3.6644 3.75502 1.9644
3.16137 4.04816 2.78966 4.04816 1.08966
3.14948 3.84014 3.83777 3.84014 2.13777
3.13776 3.78409 3.07447 3.78409 1.37447
3.12849 3.75483 3.57508 3.75483 1.87508
3.12118 3.68089 2.80792 3.68089 1.10792
3.11231 3.7127 1.92478 3.7127 0.224783
3.10615 3.86884 3.4506 3.86884 1.7506
3.0984 3.81033 2.37239 3.81033 0.672386
3.09034 3.85851 2.67961 3.85851 0.979608
3.07876 3.88621 3.29167 3.88621 1.59167
3.07635 4.15213 4.13978 4.15213 2.43978
3.0708 3.78694 2.95334 3.78694 1.25334
3.05794 3.49953 3.66587 3.49953 1.96587
3.04907 3.53536 4.0422 3.53536 2.3422
3.03751 3.6367 4.00712 3.6367 2.30712
3.02663 3.6801 2.86566 3.6801 1.16566
3.0124 3.56213 2.87459 3.56213 1.17459
3.00735 3.92526 2.45664 3.92526 0.756639
2.99736 3.73985 2.66762 3.73985 0.967617
2.9866 3.64483 3.12815 3.64483 1.42815
2.97759 3.42799 3.4597 3.42799 1.7597
2.96404 3.74831 2.95477 3.74831 1.25477
2.9548 4.03779 2.75373 4.03779 1.05373
2.94191 3.35134 3.86658 3.35134 2.16658
2.93754 3.98001 2.19312 3.98001 0.493124
2.92978 3.69355 3.02714 3.69355 1.32714
2.92374 3.86057 2.03581 3.86057 0.335813
2.92282 3.99424 2.90969 3.99424 1.20969
2.91582 3.91452 3.50728 3.91452 1.80728
2.90821 3.93852 3.21018 3.93852 1.51018
2.89756 3.60029 2.91716 3.60029 1.21716
2.89055 3.65585 2.05907 3.65585 0.359071
2.88312 3.50199 2.78872 3.50199 1.08872
2.8745 3.81457 2.92931 3.81457 1.22931
2.8659 3.57489 2.45051 3.57489 0.750507
2.85486 3.63252 2.51071 3.63252 0.810706
2.84619 3.93463 1.57195 3.93463 -0.128048
2.84144 3.75166 3.19064 3.75166 1.49064
2.83252 3.65399 2.85711 3.65399 1.15711
2.82522 3.7061 2.24839 3.7061 0.548386
2.81287 3.48689 2.66965 3.48689 0.969646
2.80401 3.4096 3.10895 3.4096 1.40895
2.79841 3.54802 1.98709 3.54802 0.287088
2.78816 3.31603 3.48437 3.31603 1.78437
2.7832 3.5308 2.3927 3.5308 0.692703
2.77793 3.85446 2.49893 3.85446 0.798926
2.77085 3.58664 2.34396 3.58664 0.643957
2.76138 3.35205 2.65264 3.35205 0.952644
2.75456 3.53382 2.33861 3.53382 0.638607
2.74756 3.12896 3.70749 3.12896 2.00749
2.73543 3.01984 2.37778 3.01984 0.67778
2.72585 3.39628 3.33738 3.39628 1.63738
2.71652 3.11169 2.39864 3.11169 0.698636
2.70782 3.32861 2.884 3.32861 1.184
2.70061 3.63643 3.382 3.63643 1.682
2.69826 3.285 2.52123 3.285 0.821226
2.68816 3.49122 2.93163 3.49122 1.23163
2.68211 3.7439 3.8154 3.7439 2.1154
2.67599 3.34819 2.59538 3.34819 0.895383
2.66681 3.42168 3.84096 3.42168 2.14096
2.66095 3.39467 1.52813 3.39467 -0.171874
2.66132 3.59312 2.233 3.59312 0.533001
2.65566 3.15466 3.06006 3.15466 1.36006
2.65107 3.7366 2.3997 3.7366 0.699696
2.6461 3.6144 3.18418 3.6144 1.48418
2.6384 3.21561 2.33086 3.21561 0.630856
2.63381 3.37157 3.23465 3.37157 1.53465
2.63017 3.29013 3.2158 3.29013 1.5158
2.62119 3.20894 2.74429 3.20894 1.04429
2.61321 3.35224 2.82358 3.35224 1.12358
2.60568 3.07572 1.77158 3.07572 0.0715833
2.60027 3.42623 4.08715 3.42623 2.38715
2.59721 3.45593 1.93103 3.45593 0.231027
2.59177 3.4262 2.20182 3.4262 0.501818
2.58504 3.18495 2.39577 3.18495 0.695765
2.58148 3.30227 2.65592 3.30227 0.955919
2.57573 3.24907 3.63214 3.24907 1.93214
2.56417 2.80685 2.0571 2.80685 0.357096
2.5589 3.34354 3.70787 3.34354 2.00787
2.55591 3.12768 2.32135 3.12768 0.621345
2.55204 2.83661 2.11062 2.83661 0.410625
2.54211 3.07075 2.37638 3.07075 0.67638
2.53818 3.3485 2.2589 3.3485 0.558897
2.53642 3.20169 1.78407 3.20169 0.0840703
2.52584 2.89434 3.15846 2.89434 1.45846
2.52189 3.09854 2.40705 3.09854 0.707048
2.51481 2.77335 3.43608 2.77335 1.73608
2.50513 2.78404 1.9622 2.78404 0.2622
2.49705 3.06813 2.20588 3.06813 0.50588
2.49185 2.91322 2.47961 2.91322 0.779612
2.4868 2.9046 2.82365 2.9046 1.12365
2.48722 2.98187 2.73514 2.98187 1.03514
2.4797 2.76579 2.92745 2.76579 1.22745
2.47374 3.09845 2.85209 3.09845 1.15209
2.47308 3.04044 2.81824 3.04044 1.11824
2.46507 2.60298 2.12184 2.60298 0.421845
2.46179 3.0264 2.75356 3.0264 1.05356
2.46261 2.73456 2.6734 2.73456 0.973397
2.45567 2.72382 3.21233 2.72382 1.51233
2.45359 2.91987 2.1102 2.91987 0.410203
2.4503 2.64532 3.97212 2.64532 2.27212
2.45122 2.86595 3.36048 2.86595 1.66048
2.44701 2.84659 1.72649 2.84659 0.0264853
2.43737 2.57238 1.84963 2.57238 0.14963
2.43306 2.61394 1.89572 2.61394 0.195717
2.43014 2.60587 2.99172 2.60587 1.29172
2.42449 2.39049 1.72025 2.39049 0.0202454
2.4191 2.50597 1.83334 2.50597 0.13334
2.4132 2.53349 1.34792 2.53349 -0.352078
2.40895 2.77015 2.24604 2.77015 0.546036
2.40603 2.64412 2.35769 2.64412 0.65769
2.40005 2.29351 1.95834 2.29351 0.258345
2.39686 2.69596 2.11677 2.69596 0.416773
2.39585 2.37769 2.52496 2.37769 0.824964
2.39332 2.45843 2.95601 2.45843 1.25601
2.39007 2.31598 2.34072 2.31598 0.640719
2.3823 2.14664 2.5457 2.14664 0.845701
2.379 2.48757 1.63876 2.48757 -0.0612393
2.3787 2.4127 2.52352 2.4127 0.823523
2.37961 2.31873 2.61324 2.31873 0.913244
2.37815 2.16 2.76479 2.16 1.06479
2.37469 2.17374 1.98757 2.17374 0.287569
